name,date of birth,country of citizenship,sex or gender,AGORHA person/institution ID,Academic Tree ID,Australian Dictionary of Biography ID,BAV ID,BHL creator ID,BIBSYS ID,BNA authority ID,BNE ID,BVMC person ID,Babelio author ID,Bait La Zemer Ha-Ivri artist ID,Biografisch Portaal number,BnF ID,British Museum person-institution,C-SPAN person ID,CANTIC-ID,CERL ID,CONOR ID,CRIStin ID,CTHS person ID,Cambridge Alumni Database ID,Catalogus Professorum Academiae Rheno-Traiectinae ID,Catalogus Professorum Lipsiensis ID,Catalogus Professorum Rostochiensium ID,CiNii author ID,Commons Creator page,Commons category,Commons gallery,Cultureel Woordenboek identifier,DAAO ID,DBLP ID,DBNL author ID,Dialnet author ID,Dictionary of New Zealand Biography,Dictionary of Swedish National Biography,Dictionary of Welsh Biography ID,Discogs artist ID,Dizionario Biografico degli Italiani,EGAXA ID,EMLO person ID,ESPNcricinfo.com player ID,Electronic Enlightenment ID,Enciclopedia Treccani ID,Encyclopedia of Australian Science ID,Encyclopædia Britannica Online ID,Erdős number,FAST ID,Facebook profile ID,Fellow of the Royal Society ID,Filmportal ID,Find a Grave grave ID,Freebase ID,GND ID,GTAA ID,Geni.com profile ID,Goodreads author ID,Google Scholar author ID,Gran Enciclopèdia Catalana ID,Great Russian Encyclopedia Online ID,HDS ID,Hansard (1803–2005) ID,History of Modern Biomedicine ID,History of Parliament ID,IMDb ID,IPA transcription,IPNI author ID,ISNI,InPhO ID,Italian Chamber of Deputies dati ID,Jewish Encyclopedia ID (Russian),KNAW past member ID,KVAB member ID,Kindred Britain ID,LAC ID,LNB ID,Legacies of British Slave-ownership person ID,Leidse Hoogleraren ID,Leopoldina member ID,Les Archives du Spectacle ID,Library of Congress authority ID,LibriVox author ID,Loop ID,Léonore ID,MacTutor id (biographies),Marburger Professorenkatalog ID,MathWorld identifier,Mathematics Genealogy Project ID,Munk's Roll ID,Munzinger IBA,MusicBrainz artist ID,Musée d'Orsay artist ID,NDL Auth ID,NE.se ID,NKCR AUT ID,NLA (Australia) ID,NLP ID,NLR (Romania) ID,NNDB people ID,NSK ID,NSZL ID,NUKAT (WarsawU) authorities,National Academy of Medicine (France) MemberID,National Inventors Hall of Fame ID,National Library of Greece ID,National Library of Ireland authority,National Library of Israel ID,National Portrait Gallery (London) person ID,National Thesaurus for Author Names ID,Nobel Prize People Nomination ID,Nobel prize ID,ODIS ID,ORCID iD,Open Library ID,OpenPlaques subject ID,Oxford Biography Index Number,PTBNP ID,Parlement & Politiek ID,People Australia ID,Perlentaucher ID,Persée author ID,Photographers' Identities Catalog ID,Plarr ID,Polish scientist ID,Project Gutenberg author ID,Quora topic ID,RERO ID,RKDartists ID,RSL ID (person),RePEc Short-ID,ResearcherID,Rodovid ID,SBN ID,SELIBR,SHARE Catalogue author ID,SNAC ID,SSRN author ID,SUDOC authorities,Sandrart.net person ID,Saxon Academy of Sciences member ID,Scopus Author ID,Shakeosphere person ID,Six Degrees of Francis Bacon ID,Social Networks and Archival Context ID,Spenserians person ID,Sports-Reference.com Olympic athlete ID,Stanford Encyclopedia of Philosophy ID,Stuttgart Database of Scientific Illustrators ID,Swiss Federal Archives ID,Sächsische Biografie,TED speaker ID,Te Papa artist ID,Teuchos ID,Treccani ID,Twitter username,UK National Archives ID,ULAN ID,University of Barcelona authority ID,VIAF ID,Vimeo username,WeRelate person ID,Who's Who in France biography ID,WikiTree ID,WomenWriters ID,World Bridge Federation ID,YouTube channel ID,academic degree,affiliation,allegiance,archives at,audio recording of the subject's spoken voice,author citation (zoology),award received,birth name,botanist author abbreviation,cause of death,child,commemorative plaque image,conflict,contributed to published work,date of death,described at URL,described by source,doctoral advisor,doctoral student,educated at,electoral district,employer,ethnic group,family name,father,feed URL,field of work,genealogics.org person ID,given name,image,image of grave,influenced by,instance of,"languages spoken, written or signed",links,list of works,manner of death,medical condition,member of,member of political party,member of sports team,military branch,mother,name in kana,name in native language,native language,noble title,nominated for,notable work,occupation,official website,openMLOL author ID,parliament.uk ID,part of,participant of,place of birth,place of death,place of detention,place of interment,place of origin (Switzerland),position held,religion,residence,sibling,signature,significant event,sport,spouse,student,student of,student register of the University of Helsinki ID (1853–1899),taxon range map image,topic's main category,warheroes.ru ID,work location,zbMATH author ID
"Heyde, Chris",[20 April 1939],[Australia],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[14407035r],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[P000491b],NA,NA,[55193],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1354 4320],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n80061823],NA,NA,NA,NA,NA,NA,[57372],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[05973261X],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[93186260],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[6 March 2008],NA,NA,[Pat Moran],NA,NA,NA,NA,NA,NA,NA,NA,[probability theory],NA,[Chris],NA,NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q5106872,NA,NA,NA,[Australian Academy of Science],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician]",NA,NA,NA,NA,NA,[Sydney],[Canberra],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[heyde.christopher-charles]
"Jaynes, Edwin Thompson",[5 July 1922Gregorian],[United States of America],[male],NA,[71782],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12435527c],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[102173],NA,NA,NA,NA,[/m/0169fy],[123687519],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1467 6130],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n82153991],NA,NA,NA,NA,NA,NA,[91282],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[069224617],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[48009],NA,NA,[033494185],NA,NA,NA,NA,NA,[w65q4zb6],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[9940196],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[30 April 1998],NA,NA,[Eugene Wigner],NA,[Princeton University],NA,[Washington University in St. Louis],NA,NA,NA,NA,[statistical physics],NA,[Edwin],[ETJaynes1.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q711210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[physicist, statistician, mathematician]",NA,NA,NA,NA,NA,[Waterloo],[Missouri],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wu, Jeff C. F.",[15 January 1949],[United States of America],[male],NA,[203499],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[123707877],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[136572855],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n82162560],NA,NA,NA,NA,NA,NA,[34328],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[032734484],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[14850433],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Shewhart Medal, 2007]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Peter J. Bickel],NA,[National Taiwan University],NA,[University of Michigan],NA,NA,NA,NA,NA,NA,[C.],[C.F. Jeff Wu at Chinese Academy of Sciences 2011.JPG],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q5006097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,[Taiwan],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[wu.chien-fu-jeff]
"Berger, James",[6 April 1950],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12338737s],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Jim Berger (statistician)],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[47041],NA,NA,NA,NA,NA,[171531000],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n79142924],NA,NA,NA,NA,NA,NA,[46730],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000-0002-6413-2876],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[C-6067-2013],NA,NA,NA,NA,NA,NA,[070527636],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[41912704],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[John Simon Guggenheim Memorial Foundation Fellowship],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Lawrence D. Brown],NA,[Cornell University],NA,[Duke University],NA,NA,NA,NA,NA,NA,[James],[James Berger Oberwolfach 2005.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q6129705,NA,NA,NA,[National Academy of Sciences],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, university teacher]",NA,NA,NA,NA,NA,[Minneapolis],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wrigley, E. A.",[17 August 1931],[United Kingdom],[male],NA,NA,NA,[ADV10206444],NA,NA,NA,NA,NA,NA,NA,NA,[12055632z],NA,NA,[a11200492],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[134096460],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 0931 2666],NA,NA,NA,NA,NA,NA,NA,[000011202],NA,NA,NA,NA,[n50015847],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[00461500],NA,NA,[36248826],[A24379074],NA,NA,NA,NA,NA,NA,NA,NA,NA,[000143552],NA,[068555741],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[29298],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[028794192],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[108398407],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[Founder’s Medal, 1997]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Edward],[Anthony Wrigley.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q15462664,NA,NA,NA,"[British Academy, American Academy of Arts and Sciences]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[economic historian, historian, statistician, demographer, university teacher]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dodge, Harold F.",[23 January 1893Gregorian],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[a11731448],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[1816060],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0000 8249 9917],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n97110826],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[1026004],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[175867682],NA,NA,NA,NA,NA,[w6613ncz],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[63300354],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Wilks Memorial Award],NA,NA,NA,NA,NA,NA,NA,[10 December 1976],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Harold],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q3783431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,[Lowell],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uyanto, Stanislaus S.",NA,NA,[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[University at Buffalo, The State University of New York, University of Melbourne, University at Albany]",NA,NA,NA,NA,NA,NA,NA,NA,[Stanislaus],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q7598966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elena Zarova,[16 May 1959],NA,[female],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Doktor Nauk in Economics],NA,NA,NA,NA,NA,"[Medal for services in conducting the population census, Honoured Science Worker of the Russian Federation]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Plekhanov Russian Economic University],NA,[Plekhanov Russian Economic University],NA,NA,NA,NA,[statistics],NA,[Elena],[Елена Викторовна Зарова.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q21639653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[economist],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cochran, William Gemmell",[15 July 1909Gregorian],[United Kingdom],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12305050q],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[2±0],[1444033],NA,NA,NA,NA,[/m/06x7gy],[123135176],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1479 7207],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n80044520],NA,NA,NA,[Cochran],NA,NA,[25897],NA,NA,NA,NA,NA,NA,[vse2006344654],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[068271999],NA,NA,NA,NA,[OL4281075A],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[3179],NA,NA,[031925332],NA,NA,NA,NA,NA,[w6q25jk5],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[108174534],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[John Simon Guggenheim Memorial Foundation Fellowship, Wilks Memorial Award, 1967, Guy Medal, 1936]",NA,NA,NA,NA,NA,NA,NA,[29 March 1980],NA,NA,[John Wishart],NA,NA,NA,[Harvard University],NA,NA,NA,NA,NA,NA,[William],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q880924,NA,NA,NA,[American Academy of Arts and Sciences],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician, university teacher]",NA,[138640],NA,NA,NA,[Glasgow],[Orleans],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richardson, Sylvia",NA,NA,[female],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12515916k],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1570 3284],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[w6tc5dwk],NA,[034399704],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[51797142],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Imperial College London],NA,NA,NA,NA,NA,NA,[Sylvia],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q10375446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chambers, John M.",[28 April 1941],[Canada],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[150383069],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[83/4145],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[1457404],NA,NA,NA,NA,NA,[140957715],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 0998 5780],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n83061098],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[059937084],NA,NA,NA,NA,NA,[w6n89w2j],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[93183914],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ACM Software System Award, 1998]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Harvard University],NA,NA,NA,NA,NA,NA,NA,NA,[John],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q3181218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, computer scientist]",NA,NA,NA,NA,NA,[Toronto],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bortkiewicz, Ladislaus",[7 August 1868Gregorian],"[Poland, Russian Empire, Soviet Union]",[male],NA,[51585],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[122781651],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Ladislaus Bortkiewicz (economist)],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[75716],NA,NA,NA,NA,[/m/017gh_],[130266884],NA,NA,NA,NA,[0011582],[1879337],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n81077122],NA,NA,NA,[Bortkiewicz],NA,NA,[63407],NA,NA,NA,NA,[00433911],NA,NA,[35020441],NA,NA,NA,NA,NA,[n01053276],NA,NA,NA,NA,[000023210],NA,[074572628],NA,NA,NA,NA,[OL165016A],NA,NA,NA,NA,[794683],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[351541],[23462],NA,NA,[031597858],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[68990041],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[15 July 1931],NA,"[Great Soviet Encyclopedia (1969–1978), Борткевич Владислав Иосифович, Brockhaus and Efron Encyclopedic Dictionary, Q24351822, Biblioteca Europea di Informazione e Cultura, http://digitale.beic.it/primo_library/libweb/action/search.do?fn=search&vid=BEIC&vl%28freeText0%29=Bortkiewicz_Ladislaus_von, Bortkiewicz, Ladislaus von 1868-1931]",[Georg Friedrich Knapp],NA,"[University of Strasbourg, habilitation, University of Göttingen]",NA,[Humboldt University of Berlin],NA,NA,NA,NA,NA,NA,[Władysław],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q836646,NA,NA,NA,[Royal Swedish Academy of Sciences],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, economist, statistician, university teacher]",NA,[113575],NA,NA,NA,[Saint Petersburg],[Berlin],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fleiss, Joseph L.",[13 November 1937],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1755 5086],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n80139310],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[082016488],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[30847993],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12 June 2003],NA,NA,NA,NA,[Columbia University Mailman School of Public Health],NA,NA,NA,NA,NA,NA,NA,NA,[Joseph],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q6284723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician]",NA,NA,NA,NA,NA,[Brooklyn],[New Jersey],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
